Team,Week,Season,HomeFlag,Result,AvgPointsFor,AvgPointsAgainst,AvgOff1stD,AvgOffTotYd,AvgOffPassYd,AvgOffRushYd,AvgOffTO,AvgDef1stD,AvgDefTotYd,AvgDefPassYd,AvgDefRushYd,AvgDefTO,AvgExPointsOff,AvgExPointsDef,AvgExPointsSpecial,LastPointsFor,LastPointsAgainst,LastOff1stD,LastOffTotYd,LastOffPassYd,LastOffRushYd,LastOffTO,LastDef1stD,LastDefTotYd,LastDefPassYd,LastDefRushYd,LastDefTO,LastExPointsOff,LastExPointsDef,LastExPointsSpecial
Arizona Cardinals,7,2004,W,Y,19,17,16,275,168,106,2,20,347,231,116,2,-5.52,8.02,-2.95,28,31,19,320,217,103,1,28,448,391,57,2,2.41,-1.37,-1.11
Arizona Cardinals,8,2004,L,N,20,17,16,283,172,110,2,18,329,221,108,3,-7.65,9.76,-1.61,25,17,16,316,189,127,2,12,257,180,77,4,-16.15,16.71,3.77
Arizona Cardinals,9,2004,W,N,19,20,15,271,158,113,1,17,309,197,111,2,-8.51,8.68,-3.41,14,38,14,213,85,128,0,11,209,81,128,0,-12.82,3.26,-12.45
Arizona Cardinals,10,2004,W,Y,20,21,16,271,156,114,1,18,322,203,119,2,-6.82,7.76,-3.54,24,23,17,270,149,121,1,22,403,235,168,2,3.35,2.24,-4.32
Arizona Cardinals,11,2004,L,N,19,20,16,259,146,113,1,18,320,197,123,2,-6.57,6.88,-2.04,17,14,18,178,74,104,0,19,308,161,147,0,-4.81,0.71,8.49
Arizona Cardinals,12,2004,L,Y,18,21,17,275,165,110,1,17,320,193,126,2,-7.73,5.9,-2.34,10,35,23,399,314,85,4,16,317,160,157,1,-17.02,-1.91,-4.77
Arizona Cardinals,13,2004,L,N,17,21,17,272,166,106,1,17,320,192,128,1,-8.02,5.15,-1.89,3,13,17,245,174,71,4,16,325,179,146,0,-10.65,-1.56,2.21
Arizona Cardinals,14,2004,L,Y,16,21,16,270,165,105,2,17,327,191,136,1,-9.3,4.43,-1.19,12,26,15,254,160,94,4,16,398,183,215,1,-22.09,-2.83,5.82
Arizona Cardinals,16,2004,L,N,17,22,17,279,176,102,2,18,329,190,139,1,-7.85,3.9,-2,28,31,25,374,299,75,2,23,352,184,168,1,8.03,-1.86,-10.98
Arizona Cardinals,17,2004,W,Y,17,22,17,282,179,102,2,17,327,185,141,1,-7.3,3.75,-2.06,21,24,18,317,220,97,2,16,301,126,175,1,-0.66,1.97,-2.81
Arizona Cardinals,1,2005,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,3,2005,L,N,19,42,20,318,287,31,2,14,275,154,121,2,-19.34,2.12,-10.38,19,42,20,318,287,31,2,14,275,154,121,2,-19.34,2.12,-10.38
Arizona Cardinals,4,2005,W,Y,15,39,17,292,231,60,2,21,361,219,142,1,-16,-8.25,-1.89,12,37,15,266,176,90,2,29,447,284,163,0,-12.66,-18.62,6.6
Arizona Cardinals,5,2005,L,Y,20,31,19,349,276,72,2,17,296,185,111,2,-13.48,3.08,-0.68,31,14,24,463,366,97,3,8,168,117,51,4,-8.44,25.75,1.74
Arizona Cardinals,7,2005,W,Y,20,29,19,378,306,72,2,16,305,199,105,2,-13.64,3.14,0.38,20,24,19,468,396,72,4,15,330,243,87,2,-14.12,3.29,3.55
Arizona Cardinals,8,2005,L,N,20,25,17,337,268,69,2,16,313,211,102,2,-15.04,8.31,-0.03,20,10,9,173,118,55,1,16,348,258,90,3,-20.63,29,-1.65
Arizona Cardinals,9,2005,L,Y,19,26,16,316,247,69,2,17,319,209,109,2,-15.25,4.94,1.01,13,34,12,213,142,71,2,21,348,202,146,1,-16.28,-11.88,6.21
Arizona Cardinals,10,2005,L,N,19,27,17,325,256,69,2,17,326,202,123,1,-13.82,1.92,1.65,19,33,23,378,307,71,4,22,370,162,208,0,-5.25,-16.19,5.46
Arizona Cardinals,12,2005,L,Y,19,27,17,334,268,65,2,18,333,205,127,1,-11.41,0.16,0.92,21,29,21,397,359,38,1,22,383,226,157,0,5.47,-12.18,-4.21
Arizona Cardinals,13,2005,W,N,19,27,18,338,272,65,2,18,329,197,131,1,-10.13,-0.15,0.11,17,24,23,368,301,67,2,19,295,133,162,0,0.08,-2.62,-6.32
Arizona Cardinals,15,2005,L,N,18,25,18,344,279,65,2,17,318,194,123,1,-9.26,1.45,-0.64,17,10,18,404,339,65,2,11,220,169,51,4,-1.44,15.81,-7.39
Arizona Cardinals,16,2005,W,Y,18,26,18,340,277,63,2,17,312,189,123,1,-8.59,1.87,-1.19,19,30,16,301,262,39,4,18,253,134,119,2,-1.9,6.06,-6.67
Arizona Cardinals,17,2005,L,N,19,25,18,342,278,64,2,17,302,185,116,1,-7.94,3.35,-2.11,27,21,19,360,285,75,1,11,189,146,43,1,-0.75,19.68,-12.21
Arizona Cardinals,1,2006,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,2,2006,L,N,34,27,23,367,283,84,1,19,393,286,107,2,7.82,-0.25,-1.58,34,27,23,367,283,84,1,19,393,286,107,2,7.82,-0.25,-1.58
Arizona Cardinals,4,2006,L,N,22,24,20,311,237,74,1,19,367,240,126,2,-0.55,-2.3,0.48,10,21,17,256,191,65,2,20,341,195,146,2,-8.91,-4.34,2.54
Arizona Cardinals,5,2006,L,Y,18,26,18,270,211,58,2,19,379,208,171,1,-7.43,-0.26,-1.54,10,32,14,187,161,26,4,19,405,143,262,1,-21.2,3.8,-5.58
Arizona Cardinals,6,2006,L,Y,18,25,18,277,214,62,2,19,360,221,138,1,-6.69,2.51,-3.63,20,23,18,298,222,76,1,18,301,262,39,2,-4.48,10.83,-9.91
Arizona Cardinals,8,2006,L,N,19,25,17,278,215,63,2,17,321,203,118,2,-10.55,9.14,-4.98,23,24,17,286,220,66,2,9,168,130,38,6,-26,35.67,-10.37
Arizona Cardinals,10,2006,L,Y,18,26,18,268,201,67,1,18,331,199,132,2,-8.73,4.36,-3.88,14,31,20,218,132,86,1,28,383,180,203,0,0.4,-19.53,1.6
Arizona Cardinals,11,2006,W,Y,17,26,18,272,202,69,2,19,346,214,131,1,-7.81,1.89,-3.31,10,27,17,295,209,86,3,20,434,308,126,0,-2.3,-12.98,0.14
Arizona Cardinals,12,2006,L,N,17,24,18,280,205,74,1,19,338,214,123,1,-5.59,1.76,-3.6,17,10,20,338,228,110,0,19,281,213,68,1,9.92,0.9,-5.62
Arizona Cardinals,14,2006,W,Y,18,25,18,295,226,68,2,20,346,219,127,1,-5.43,0.92,-2.71,26,31,22,412,395,17,5,30,412,255,157,1,-4.13,-5.86,4.36
Arizona Cardinals,15,2006,L,Y,19,24,18,300,227,72,2,20,346,220,126,1,-4.31,0.85,-2.67,27,21,20,345,232,113,1,21,348,228,120,3,5.78,0.3,-2.31
Arizona Cardinals,16,2006,W,N,19,25,18,299,224,75,2,20,348,223,124,1,-4.14,-0.45,-2.39,20,37,17,295,195,100,2,26,362,256,106,2,-2.47,-13.49,0.49
Arizona Cardinals,1,2007,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,2,2007,W,Y,17,20,20,261,100,161,2,16,194,102,92,1,-7.77,7.39,-2.54,17,20,20,261,100,161,2,16,194,102,92,1,-7.77,7.39,-2.54
Arizona Cardinals,3,2007,L,N,20,20,20,346,199,146,1,17,278,190,88,1,1.8,1.03,-2.39,23,20,20,431,299,132,1,18,362,278,84,1,11.36,-5.33,-2.24
Arizona Cardinals,4,2007,W,Y,21,22,19,352,234,118,1,19,312,210,101,1,2.5,-2.14,-1.31,23,26,17,364,303,61,1,23,381,252,129,1,3.9,-8.47,0.85
Arizona Cardinals,6,2007,L,Y,21,20,19,339,229,110,1,18,304,209,95,1,1.67,0.21,-0.13,21,14,19,301,215,86,2,17,282,205,77,2,-0.83,7.26,3.43
Arizona Cardinals,9,2007,L,N,18,21,17,322,215,107,2,17,318,206,112,1,-2.55,0.48,1.49,10,25,10,255,159,96,5,14,374,193,181,0,-19.39,1.53,7.94
Arizona Cardinals,10,2007,W,Y,17,20,15,301,208,93,2,17,323,203,120,0,-4.18,0.46,1.76,10,17,9,195,172,23,2,18,350,188,162,0,-12.36,0.39,3.13
Arizona Cardinals,11,2007,W,N,19,20,16,303,213,90,2,17,312,211,101,1,-4.96,2.74,1.74,31,21,21,319,246,73,4,16,247,265,-18,5,-9.63,16.38,1.6
Arizona Cardinals,12,2007,L,Y,21,21,16,296,211,85,2,17,323,225,97,1,-4.29,5.09,-0.37,35,27,17,247,197,50,0,21,396,324,72,5,0.41,21.55,-15.11
Arizona Cardinals,13,2007,W,Y,22,23,17,325,238,86,2,18,328,227,101,1,-3.04,3.91,-1.15,31,37,25,552,456,96,4,21,374,237,137,0,6.93,-5.53,-7.4
Arizona Cardinals,14,2007,L,N,22,22,17,322,231,91,2,18,333,233,100,1,-2.54,3.78,-1.01,27,21,18,302,169,133,1,21,379,295,84,4,1.94,2.66,0.26
Arizona Cardinals,15,2007,L,N,22,24,18,325,238,87,2,18,335,237,98,1,-3.45,2.1,-0.35,21,42,23,355,305,50,5,21,349,269,80,0,-12.56,-14.72,6.24
Arizona Cardinals,16,2007,W,Y,22,25,18,324,236,88,2,19,342,242,99,1,-3.24,0.91,0.19,24,31,17,317,214,103,2,24,421,307,114,2,-0.83,-12.18,6.14
Arizona Cardinals,1,2008,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,2,2008,W,Y,23,13,18,285,176,109,0,13,291,183,108,5,-2.16,8.61,1.37,23,13,18,285,176,109,0,13,291,183,108,5,-2.16,8.61,1.37
Arizona Cardinals,4,2008,L,N,27,11,20,365,270,95,0,15,263,173,90,2,11.17,3.72,1.94,31,10,22,445,364,81,0,17,236,164,72,0,24.5,-1.17,2.5
Arizona Cardinals,5,2008,W,Y,29,26,24,399,322,77,2,17,300,210,89,2,6.16,-3.54,1.26,35,56,33,468,426,42,7,23,373,284,89,1,-3.85,-18.06,-0.09
Arizona Cardinals,6,2008,W,Y,32,24,25,392,304,88,1,16,296,208,88,2,8.63,-0.71,0.82,41,17,28,373,250,123,0,13,287,203,84,4,16.01,7.77,-0.51
Arizona Cardinals,8,2008,L,N,32,24,23,369,288,81,2,16,312,227,85,2,6.46,-0.82,2.56,30,24,14,276,226,50,3,15,374,301,73,1,-2.21,-1.25,9.52
Arizona Cardinals,10,2008,W,Y,30,24,23,378,302,75,2,17,318,228,89,2,6.44,-2.42,1.57,23,27,25,425,375,50,2,22,351,238,113,1,6.33,-10.43,-3.37
Arizona Cardinals,11,2008,W,N,30,24,23,378,306,71,1,17,321,227,94,2,6.86,-1.51,-0.41,29,24,21,374,328,46,0,19,336,217,119,3,9.38,3.94,-12.28
Arizona Cardinals,12,2008,L,Y,29,23,23,388,315,72,1,17,305,217,87,2,6.6,-0.74,-0.69,26,20,24,458,382,76,3,18,196,153,43,4,4.81,4.68,-2.62
Arizona Cardinals,13,2008,L,N,29,25,23,386,319,66,1,17,307,219,87,2,6.8,-1.74,-1.49,29,37,27,371,348,23,2,18,321,234,87,0,8.38,-9.73,-7.96
Arizona Cardinals,15,2008,L,Y,28,27,22,373,311,62,2,19,320,222,97,2,4.96,-3.78,-0.85,20,48,12,260,235,25,4,32,437,252,185,1,-11.6,-22.15,4.97
Arizona Cardinals,16,2008,L,N,27,28,21,368,307,60,2,19,327,216,110,1,3.7,-4.78,-0.1,14,35,16,316,273,43,2,20,396,157,239,1,-8.86,-14.78,7.34
Arizona Cardinals,17,2008,W,Y,25,29,20,353,293,59,2,19,342,226,116,1,1.95,-6.24,-0.11,7,47,8,186,142,44,2,27,514,331,183,0,-17.28,-22.27,-0.23
Arizona Cardinals,50,2008,W,Y,26,29,20,361,297,63,2,20,341,227,114,1,3.03,-5.78,-0.05,34,21,19,457,346,111,2,24,330,243,87,3,15.91,-0.24,0.67
Arizona Cardinals,65,2008,W,N,26,28,20,360,295,64,2,20,335,225,110,1,3.15,-4.82,-0.45,30,24,15,357,271,86,1,20,250,190,60,3,4.78,7.65,-5.59
Arizona Cardinals,75,2008,W,Y,27,27,20,360,290,70,1,19,330,222,107,2,3.29,-3.01,-0.65,33,13,21,360,215,145,1,16,269,194,75,6,5.14,22.27,-3.52
Arizona Cardinals,100,2008,L,N,27,27,20,361,289,72,1,19,338,231,107,2,4.16,-3.58,-0.45,32,25,21,369,267,102,1,22,454,357,97,3,17.33,-12.1,2.55
Arizona Cardinals,1,2009,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,2,2009,W,N,16,20,17,299,259,40,2,13,203,182,21,1,-12.48,8.48,-0.96,16,20,17,299,259,40,2,13,203,182,21,1,-12.48,8.48,-0.96
Arizona Cardinals,3,2009,L,Y,23,18,19,341,262,79,2,15,285,228,56,2,-1.02,6.7,-0.82,31,17,22,383,265,118,2,18,367,275,92,3,10.45,4.91,-0.68
Arizona Cardinals,5,2009,W,Y,19,22,20,335,274,60,2,17,358,278,79,1,-4.79,-0.27,1.48,10,31,21,323,299,24,3,22,505,379,126,1,-12.34,-14.19,6.09
Arizona Cardinals,6,2009,W,N,21,22,19,336,279,56,2,19,372,301,71,1,-3.11,0.1,1.67,28,21,19,340,296,44,1,23,416,371,45,1,1.92,1.18,2.21
Arizona Cardinals,7,2009,W,N,22,18,20,337,280,57,2,16,323,264,59,1,-2.35,4.25,2.01,27,3,21,344,282,62,2,7,128,114,14,2,0.69,20.89,3.37
Arizona Cardinals,8,2009,L,Y,22,18,19,329,269,60,2,16,324,256,67,2,-3.57,5.13,2.58,24,17,15,288,216,72,2,15,327,220,107,4,-9.68,9.53,5.47
Arizona Cardinals,9,2009,W,N,22,20,19,328,263,64,2,15,328,232,96,1,-4.36,3.61,2.59,21,34,23,320,226,94,6,13,355,85,270,0,-9.1,-5.53,2.65
Arizona Cardinals,10,2009,W,Y,24,20,20,341,262,79,2,16,339,246,93,1,-1.28,2.59,2.49,41,21,27,438,256,182,1,20,417,347,70,1,20.29,-4.55,1.74
Arizona Cardinals,12,2009,L,N,25,20,20,355,271,84,2,17,354,253,101,1,0.41,1.64,2.27,31,20,22,462,340,122,0,29,472,308,164,2,13.93,-5.97,0.55
Arizona Cardinals,13,2009,W,Y,24,20,20,348,265,83,1,18,372,265,107,1,0.61,0,2.72,17,20,15,292,217,75,0,20,532,369,163,1,2.39,-14.72,6.78
Arizona Cardinals,14,2009,L,N,25,20,20,353,267,86,1,18,367,263,103,1,1.42,0.11,2.67,30,17,20,398,285,113,1,22,315,253,62,2,9.57,1.17,2.11
Arizona Cardinals,15,2009,W,N,23,20,19,344,258,85,2,18,363,253,110,1,-0.85,0.29,2.85,9,24,11,245,160,85,7,18,327,138,189,2,-25.84,2.25,4.85
Arizona Cardinals,17,2009,L,Y,24,20,19,344,255,88,2,18,357,243,114,1,-1.3,1.06,2.88,31,24,21,340,218,122,3,15,282,121,161,3,-6.67,10.38,3.32
Arizona Cardinals,50,2009,W,Y,23,21,19,332,247,85,2,18,356,242,113,1,-2.39,0.37,2.53,7,33,13,187,139,48,3,24,345,236,109,1,-16.58,-8.65,-2.07
Arizona Cardinals,65,2009,L,N,24,23,19,346,255,90,2,19,365,253,112,1,0.04,-1.31,2.15,51,45,30,531,375,156,1,32,493,404,89,3,33.99,-24.78,-3.21
Arizona Cardinals,2,2010,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,5,2010,W,Y,7,41,11,267,149,118,3,33,444,223,221,1,-12.23,-20.26,-0.76,7,41,11,267,149,118,3,33,444,223,221,1,-12.23,-20.26,-0.76
Arizona Cardinals,7,2010,L,N,18,30,11,230,151,79,2,26,401,248,153,2,-11.36,-4.1,2.88,30,20,12,194,153,41,1,19,358,273,85,4,-10.49,12.07,6.52
Arizona Cardinals,8,2010,L,Y,15,27,12,229,138,90,3,22,368,218,150,2,-12.8,2.22,-2.29,10,22,13,227,114,113,5,16,302,158,144,1,-15.69,14.84,-12.62
Arizona Cardinals,9,2010,L,N,20,30,14,271,178,93,3,21,377,226,151,2,-11.17,-0.1,1.42,35,38,22,396,296,100,4,19,407,253,154,2,-6.25,-7.04,12.55
Arizona Cardinals,10,2010,L,Y,21,29,14,261,176,85,2,23,403,266,136,2,-10.03,-2.1,3.57,24,27,13,225,172,53,1,28,507,427,80,3,-5.51,-10.13,12.18
Arizona Cardinals,11,2010,L,N,20,30,15,272,195,77,2,23,418,285,132,2,-10,-3.22,3.34,18,36,19,327,286,41,2,24,490,380,110,1,-9.82,-8.78,2.15
Arizona Cardinals,12,2010,L,Y,19,30,15,288,207,81,2,22,408,272,136,1,-8.84,-4.91,2.77,13,31,19,382,281,101,0,17,352,193,159,0,-1.92,-15.07,-0.63
Arizona Cardinals,14,2010,W,Y,17,30,14,277,205,72,2,22,405,254,151,1,-10.13,-5.89,3.44,6,27,8,203,190,13,2,26,386,125,261,1,-19.13,-12.73,8.1
Arizona Cardinals,15,2010,L,N,20,28,15,286,198,87,2,22,392,243,149,2,-9.13,-1.77,2.78,43,13,21,357,146,211,1,20,288,156,132,6,-1.17,31.2,-2.44
Arizona Cardinals,16,2010,W,Y,19,27,14,279,196,83,2,21,383,231,152,2,-9.56,-0.73,1.95,12,19,11,218,175,43,2,16,303,126,177,1,-13.38,8.61,-5.52
Arizona Cardinals,17,2010,L,N,20,27,14,278,194,84,1,22,383,228,155,2,-8.67,-0.27,1.6,27,26,10,271,178,93,0,24,382,199,183,3,0.18,4.37,-1.95
Arizona Cardinals,1,2011,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,3,2011,L,N,28,21,15,394,295,99,1,26,477,403,74,1,8.29,-10.08,7.57,28,21,15,394,295,99,1,26,477,403,74,1,8.29,-10.08,7.57
Arizona Cardinals,4,2011,L,Y,19,17,17,359,264,94,1,21,369,271,98,1,2.37,-0.65,0.83,10,13,20,324,234,90,2,16,261,139,122,1,-3.55,8.79,-5.92
Arizona Cardinals,5,2011,L,N,21,21,19,362,247,115,1,22,366,282,83,1,2.69,-2.16,0.21,27,31,22,368,212,156,2,24,360,306,54,2,3.33,-5.19,-1.03
Arizona Cardinals,7,2011,L,Y,18,24,18,344,238,105,2,21,357,252,105,1,-3.42,-2.93,-0.01,10,34,18,291,214,77,4,20,332,160,172,1,-21.76,-5.24,-0.66
Arizona Cardinals,8,2011,L,N,19,26,19,341,242,99,2,22,375,272,102,1,-0.79,-6.18,-1.29,20,32,23,330,257,73,1,26,445,354,91,0,9.76,-19.16,-6.42
Arizona Cardinals,10,2011,W,N,20,26,19,319,218,100,1,23,380,276,103,1,-1.58,-6.13,0.55,27,30,17,207,98,109,1,30,405,298,107,2,-5.55,-5.91,9.73
Arizona Cardinals,11,2011,L,N,20,25,19,326,227,98,1,22,367,254,112,1,-1.15,-3.67,-0.92,21,17,23,370,282,88,2,15,289,123,166,2,1.4,11.13,-9.74
Arizona Cardinals,13,2011,W,Y,18,25,18,314,217,96,2,22,375,256,118,1,-3.07,-3.97,0.25,7,23,11,229,149,80,5,25,431,267,164,1,-16.51,-6.07,8.44
Arizona Cardinals,14,2011,W,Y,18,23,18,315,218,97,2,22,370,256,113,1,-2.61,-3.75,1.01,19,13,16,327,224,103,0,20,336,261,75,0,1.07,-1.98,7.14
Arizona Cardinals,15,2011,W,Y,19,23,17,316,223,93,2,21,356,245,111,1,-2.78,-2.02,0.22,21,19,12,325,270,55,3,12,233,143,90,0,-4.23,13.47,-6.91
Arizona Cardinals,16,2011,L,N,19,22,18,320,229,91,2,20,354,242,112,1,-2.05,-1.78,-0.02,20,17,24,363,289,74,1,16,333,213,120,1,5.22,0.66,-2.42
Arizona Cardinals,17,2011,W,Y,18,22,18,320,231,88,2,20,350,233,116,1,-2.94,-1.37,0.29,16,23,17,316,257,59,3,21,301,136,165,2,-12.69,3.11,3.64
Arizona Cardinals,1,2012,W,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,2,2012,W,N,20,16,18,253,210,43,2,18,254,139,115,2,-4.9,9.49,-1.82,20,16,18,253,210,43,2,18,254,139,115,2,-4.9,9.49,-1.82
Arizona Cardinals,3,2012,W,Y,20,17,17,247,175,72,2,21,320,218,102,1,-7.16,6.16,4.61,20,18,16,242,140,102,2,25,387,297,90,1,-9.41,2.82,11.04
Arizona Cardinals,4,2012,W,Y,22,13,16,262,181,81,1,19,316,210,106,2,-5.38,10.47,4.18,27,6,16,292,193,99,0,16,307,194,113,3,-1.83,19.1,3.32
Arizona Cardinals,6,2012,L,Y,22,15,17,271,203,68,1,20,357,256,101,2,-6.64,8.31,6.66,24,21,19,297,269,28,2,21,480,394,86,4,-10.41,1.83,14.11
Arizona Cardinals,7,2012,L,N,21,16,17,283,192,90,1,19,346,233,113,2,-6.97,7.96,5.17,16,19,20,332,150,182,2,19,306,141,165,2,-8.32,6.56,-0.8
Arizona Cardinals,8,2012,L,Y,20,16,18,295,198,96,1,18,323,201,122,2,-7.33,7.84,2.76,14,21,21,356,230,126,2,12,209,43,166,2,-9.12,7.23,-9.29
Arizona Cardinals,9,2012,L,N,17,17,18,291,207,83,1,18,322,201,121,2,-7.55,5.41,2.04,3,24,16,265,258,7,1,15,317,204,113,0,-8.84,-9.14,-2.3
Arizona Cardinals,11,2012,L,N,17,19,17,297,217,80,1,18,330,202,128,1,-7.29,3.89,1.29,17,31,16,340,286,54,2,20,384,208,176,1,-5.45,-6.76,-3.98
Arizona Cardinals,13,2012,L,N,17,19,16,283,197,86,1,18,333,212,120,2,-9.29,5.67,1.42,19,23,7,178,41,137,1,20,354,296,58,6,-25.36,19.88,2.52
Arizona Cardinals,14,2012,L,N,16,18,15,269,183,85,1,18,328,202,125,2,-11.04,6.18,2.3,6,7,5,137,56,81,1,20,289,112,177,4,-26.77,10.81,10.24
